;userName;content;score;at
260;Nurimah Hidayah;smoga makin gede lagi sahamnya;5;2021-04-11 14.56.11
261;Muhammad Asfari;aplikasi rekomendasi buat investor pemula??;5;2021-04-30 14.17.59
262;Mochamad Taufan;semoga menjadi berkah;3;2021-05-18 16.22.20
263;Dwi Haryo;terbaik lah ini aplikasi..;5;2021-04-02 8.02.28
264;Apahna Neneng;Bisa kah pake akun demo dulu;2;2021-04-17 5.33.09
265;Mohammad Ziun;belajar investasi dari sini;5;2021-04-30 1.09.07
266;Zipora Erni;bagus untuk pemula seperti saya;5;2021-04-15 6.03.55
267;miranti nareswari;aplikasi berjalan dengan baik;5;2021-03-27 3.33.12
268;Vincentius Krisna;"sejauh ini masih aman"" saja";5;2021-03-26 19.47.31
269;Aten Nurabdillah;Alhamdulillah sesuatu banget;4;2021-03-27 7.28.12
270;Siska _;aplikasi yang sangat bermanfaat;5;2021-04-05 21.30.36
271;Miftah Sodiq;Investasi mudah untuk pemula;5;2021-04-05 16.54.35
272;Anonym;Masukan Kode Refferal : bersahaja;5;2021-05-14 6.51.19
273;Cahyo Ws;Bagus untuk investor pemula;5;2021-04-19 8.50.59
274;NyoNyo Share;Beda bank kena biaya penarikan;1;2021-04-30 2.28.04
275;Kang Gabut;Sebenarnya aplikasi ini mudah untuk melakukan invest tapi sangat kecewa dengan service nya yang gag slalu uptodate (sabtu minggu & tanggal merah gag ada update perubahan harga),, sistem pembelian reksadana juga tidak realtime (misal kita beli di harga hari senin 1 april,, nanti yg terbeli dalam invest adalah harga di hari selasa 2 april);1;2021-04-02 16.16.33
276;Ryan Fauzi;mantul.. aq inves d tmpt tetangga rugi 30 dollar.. nyesel bru inves dsni;5;2021-04-09 4.02.59
277;Jalur Genza;Dapatkan cashback dengan menggunakan refferal gen54;4;2021-03-27 16.25.13
278;Nasruddin Nasdin;Benar2 peluang bisnis yg oke;5;2021-04-20 10.37.40
279;Black Arrow;Aplikasi Bibit membantu sya memahami Investasi;5;2021-03-27 2.38.01
280;febrina ahilda;kereeeennnn banget, amanah.;5;2021-03-29 3.39.10
281;May Puguh Saputra;Nikmati aja jalannya;5;2021-05-10 13.39.12
282;Deni Anjas Prawira;Coba dulu. Sepertinya bagus;5;2021-04-12 11.00.14
283;Ballack 6;insya'allah.. bibit amanah.;5;2021-04-29 10.15.55
284;Reviewers;saya suka menggunakan bibit;5;2021-04-09 3.21.41
285;wa one;cocok untuk investor pemula;5;2021-03-28 17.32.59
